Purchase ID,Customer Name,Age,Gender,City,Car Brand,Car Model,Fuel Type,Transmission,Purchase Date,Price,Loan Taken,Down Payment ,Loan Provider,Annual Income,Previous Car Owned,Customer Satisfaction Score
PUR100000,Laura,28,Male,Munich,BMW,C-Class,Petrol,Automatic,10/6/2021,"€ 15,725.19",Yes,"€ 5,004.00",Commerzbank,"€ 62,770.00",Yes,2
PUR100001,Tim,54,Female,Stuttgart,BMW,A3,Electric,Automatic,7/10/2021,"€ 37,264.71",Yes,"€ 11,930.00",Commerzbank,"€ 53,283.00",No,4
PUR100002,Lukas,42,Male,Hamburg,Opel,Octavia,Petrol,Manual,9/13/2021,"€ 48,946.14",No,"€ 8,263.00",Commerzbank,"€ 78,976.00",Yes,4
PUR100003,Sophie,26,Female,Berlin,Audi,Golf,Petrol,Manual,9/5/2021,"€ 23,009.41",No,"€ 12,359.00",Commerzbank,"€ 84,191.00",No,4
PUR100004,Lukas,40,Female,Berlin,Audi,C-Class,Diesel,Manual,8/18/2021,"€ 12,942.71",No,"€ 3,635.00",Volksbank,"€ 30,924.00",No,3
PUR100005,Laura,52,Female,Stuttgart,Mercedes,C-Class,Diesel,Automatic,3/18/2023,"€ 33,901.09",Yes,"€ 10,921.00",Deutsche Bank,"€ 29,065.00",Yes,2
PUR100006,Lukas,56,Male,Frankfurt,BMW,Golf,Petrol,Automatic,9/7/2024,"€ 31,868.36",No,"€ 4,957.00",Deutsche Bank,"€ 34,193.00",No,3
PUR100007,Julia,31,Female,Stuttgart,Mercedes,Passat,Electric,Manual,9/18/2021,"€ 30,697.05",No,"€ 5,170.00",Volksbank,"€ 117,287.00",No,4
PUR100008,Hans,66,Male,Berlin,Audi,X5,Diesel,Manual,1/27/2024,"€ 39,518.96",Yes,"€ 1,423.00",Commerzbank,"€ 56,280.00",No,4
PUR100009,Felix,58,Male,Berlin,Volkswagen,Golf,Hybrid,Manual,5/3/2023,"€ 17,632.90",Yes,"€ 14,037.00",Commerzbank,"€ 78,711.00",No,4
PUR100010,Anna,63,Male,Berlin,Volkswagen,A3,Electric,Manual,1/30/2024,"€ 14,060.49",Yes,"€ 12,277.00",Commerzbank,"€ 27,670.00",No,3
PUR100011,Lukas,34,Male,Munich,Mercedes,Octavia,Hybrid,Manual,7/5/2023,"€ 16,328.99",Yes,"€ 2,299.00",Deutsche Bank,"€ 45,050.00",Yes,5
PUR100012,Felix,39,Female,Munich,Audi,Golf,Hybrid,Automatic,12/1/2024,"€ 38,430.45",No,"€ 5,319.00",Deutsche Bank,"€ 56,711.00",No,4
PUR100013,Felix,41,Female,Frankfurt,Porsche,911,Diesel,Manual,12/29/2022,"€ 22,939.79",Yes,"€ 2,721.00",Commerzbank,"€ 56,450.00",Yes,4
PUR100014,Anna,79,Male,Munich,Mercedes,A3,Diesel,Manual,2/3/2021,"€ 17,338.40",No,"€ 8,500.00",Commerzbank,"€ 60,623.00",No,3
PUR100015,Hans,22,Female,Cologne,Mercedes,Golf,Electric,Manual,8/21/2022,"€ 30,626.95",Yes,"€ 13,356.00",Volksbank,"€ 49,889.00",No,4
